i
you
to
lol
u
and
a
the
is
no
we
me
so
that
gg
it
just
this
for
my
not
im
have
dont
get
was
go
gj
are
in
top
mid
all
bot
can
why
of
he
do
got
on
your
guys
up
need
they
its
bad
like
with
game
report
if
team
at
good
ur
what
ult
ty
be
fuck
wtf
too
but
how
nice
fucking
now
did
then
push
him
shit
stop
kill
cant
wow
play
one
help
when
ok
blue
know
or
didnt
win
come
lane
sorry
there
ward
back
2
well
please
time
yeah
them
going
plz
k
out
even
more
as
she
had
baron
will
oh
noob
yi
fed
take
b
gank
were
thats
1
want
really
let
see
mia
ill
her
3
gonna
man
pls
fight
should
teemo
lee
red
omg
op
dude
doing
vayne
us
our
still
ez
first
think
would
down
only
has
wait
much
yes
wards
suck
about
farm
hard
lets
damn
you're
cait
die
who
jungle
care
don't
am
getting
hes
ashe
right
jax
flash
5
from
stfu
an
4
tower
support
afk
his
said
because
kills
better
adc
yea
keep
off
try
god
lux
here
haha
over
thanks
ya
lose
group
warded
stupid
never
wp
being
after
could
stay
dat
feed
cause
shut
drag
than
their
worth
been
sure
nasus
mad
by
say
run
some
look
focus
hit
lost
fizz
feeding
riven
brb
again
way
coming
sona
turret
garen
cs
lmao
tank
went
trying
died
zed
cuz
doesnt
does
annie
fine
dumb
done
carry
mean
build
give
fk
people
kk
thought
make
where
everyone
end
r
np
youre
i'm
bro
playing
mana
talking
lag
nvm
buy
gold
y
idiot
it's
use
shen
ass
vi
ahri
surrender
damage
hate
reported
sry
last
ks
nid
bitch
6
can't
next
love
q
nothing
xin
easy
troll
killed
thx
lvl
away
idk
late
didn't
nah
dead
blitz
leave
j4
someone
best
oom
fun
ap
leona
anything
thresh
free
wanna
start
gone
rofl
call
kat
called
ever
fault
always
ping
20
close
sigh
pro
already
though
udyr
gotta
tho
wont
told
low
before
tell
talk
trist
omw
hey
dragon
leash
both
guess
other
kid
varus
same
almost
took
cool
actually
10
akali
yo
okay
sucks
o
tf
solo
hp
level
stun
times
dmg
he's
watch
toxic
pretty
shaco
into
trash
something
job
wasnt
holy
any
real
kass
yup
dive
pushing
smite
isnt
nope
corki
darius
cho
maybe
bronze
noobs
every
dick
wrong
jungler
thing
while
elise
singed
mf
minions
draven
caught
ww
ulti
little
work
such
useless
graves
voli
guy
nunu
yet
shes
long
0
two
wanted
g
omfg
yep
ryze
reporting
sec
base
ganks
reason
retard
rengar
jesus
heal
saying
lanes
1v1
tried
twitch
e
blame
early
least
whole
kayle
duo
losing
life
won
together
eve
champ
funny
came
played
trolling
saw
taking
behind
ffs
soon
ad
btw
fuckin
retarded
janna
nj
taric
great
bush
games
health
once
fiddle
double
pick
zyra
vs
very
fail
full
we're
fuk
defend
inhib
that's
might
learn
worst
fking
enough
around
since
gay
kha
save
against
without
wat
many
ignite
left
split
pink
new
amumu
hell
steal
aatrox
zac
bait
nami
says
ive
ima
tryn
fast
lmfao
these
fucked
trynd
ggwp
attack
hec
4v5
diana
invade
hold
seriously
feel
quit
sad
far
tanky
also
gl
map
panth
re
big
silver
muted
those
thank
anyone
lucian
ganked
needs
most
i'll
30
w
used
engage
ranked
buff
sin
brand
gp
lagging
made
calm
hope
alone
vlad
else
idea
jayce
couldnt
lucky
ran
smiteless
ori
talon
sivir
lulu
passive
winning
em
counter
point
throw
chase
instead
day
srry
fiora
farming
follow
rammus
gets
whats
till
gave
dam
hahaha
annoying
player
strong
d
chill
move
skin
seen
makes
either
matter
yourself
kinda
own
waste
na
n
noc
must
helping
slow
bye
forgot
fid
put
pushed
missed
fck
bit
tp
doesn't
arent
chat
camp
terrible
faggot
under
mundo
goes
jsut
min
armor
ulted
soraka
needed
quinn
ik
lot
plays
fighting
deaths
probably
miss
understand
listen
range
started
anymore
da
true
pinged
olaf
worry
death
ults
havent
skill
knew
ppl
items
finish
running
hi
plat
poke
half
rage
wish
towers
naut
safe
mute
v
wut
smart
mine
malph
idc
having
dying
jump
fights
kids
second
dumbass
ahead
wouldnt
ye
clear
cry
minutes
ugh
shoulda
pull
cmon
morg
kennen
cc
another
making
negative
person
auto
shot
ikr
seconds
main
ban
smurf
grab
warding
literally
vision
typing
wukong
boots
yay
everything
15
cd
ask
f
supp
ganking
anyway
they're
baby
2v1
until
banned
shield
saved
ff
ezreal
mins
ziggs
hf
turrets
mom
renek
crap
ready
bottom
def
jarvan
7
league
check
scared
prob
aww
de
ignore
meh
less
item
sit
enjoy
problem
alright
sej
yall
beat
river
pussy
throwing
old
gragas
wu
killing
super
bs
wants
shouldnt
flashed
whatever
lawl
blind
peel
t
alot
imma
cover
chance
score
id
recall
s
anyways
which
idiots
sup
bg
swain
aint
building
means
malz
lolol
fag
12
attitude
dc
luck
waiting
jk
verbal
moron
8
face
que
believe
happens
runes
fuking
name
expect
scrub
ali
theres
awesome
soo
kog
attention
mr
veigar
enemy
mumu
karma
honestly
twice
crying
elo
picked
happened
stand
takes
minion
friend
cunt
garbage
sense
stole
carrying
eat
deal
la
dis
sion
players
cares
abuse
assist
comes
kidding
diamond
uh
9
she's
xd
chasing
gtfo
serious
shitty
nobody
read
worse
joke
realize
whos
horrible
pay
poppy
carried
nidalee
irelia
giving
ha
penta
finally
riot
asshole
calling
balls
happen
son
fcking
money
nigga
feeder
thinks
sht
wonder
mother
baited
trolls
ago
watching
rumble
entire
cass
english
trundle
exactly
asked
christ
match
obviously
account
raped
fat
normal
bet
clearly
master
type
weak
jungling
karthus
renekton
telling
live
course
threw
qq
champs
cute
m
show
boy
owned
huh
sick
buddy
deserve
fkin
friends
l0l
year
bots
hahah
nub
nigger
speak
single
yolo
broken
malphite
awful
fu
retards
fuckign
loss
none
anivia
warwick
piece
blow
derp
uninstall
i've
morde
dies
hahahaha
l
c
pathetic
11
worthless
nerd
fkn
fuckk
cya
baddie
p
faggots
premades
gt
lt
